id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,夏日港湾,从化,240,19199元/平米,3室2厅1厨2卫,中楼层 (共21层),125.01㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,null,2019-02-27,商品房,2010-05-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
2,实地常春藤,黄埔,230,26841元/平米,3室2厅1厨1卫,低楼层 (共29层),85.69㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,两梯六户,有,null,2019-09-08,商品房,2019-07-16,普通住宅,未满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
3,万科四季花城天竹轩,南海,395,27623元/平米,4室3厅1厨3卫,低楼层 (共5层),143㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,一梯两户,无,null,2019-03-26,商品房,2016-03-18,普通住宅,满两年,非共有,"
                                有抵押 220万元 中国银行 客户偿还
                              ",已上传房本照片
4,万科天景花园,花都,162,17053元/平米,3室1厅1厨1卫,低楼层 (共21层),95㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,null,2019-12-14,商品房,2013-07-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
5,中交港湾国际,黄埔,120,23077元/平米,2室1厅1厨1卫,中楼层 (共24层),52㎡,复式,51.9㎡,塔楼,东南,钢混结构,其他,三梯二十户,有,商水,商电,3.45元/m3,2019-11-05,商品房,2012-10-15,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6,岭南新世界,白云,350,45331元/平米,2室1厅1厨1卫,中楼层 (共18层),77.21㎡,平层,61.62㎡,塔楼,东南,钢混结构,精装,一梯四户,有,null,2020-03-30,商品房,2018-02-05,普通住宅,满两年,非共有,"
                                有抵押 180万元 农业银行
                              ",已上传房本照片
7,观海美寓,南沙,158,18785元/平米,2室2厅1厨1卫,低楼层 (共17层),84.11㎡,平层,67.15㎡,塔楼,东北,钢混结构,精装,两梯六户,有,null,2019-09-06,商品房,2012-11-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
8,敏捷御峰国际,番禺,145,19059元/平米,2室2厅1厨2卫,高楼层 (共10层),76.08㎡,复式,暂无数据,塔楼,东南,钢混结构,其他,两梯二十户,有,民水,民电,2019-12-02,商品房,2017-08-25,商住两用,满两年,非共有,"
                                有抵押 39万元 工商银行番禺支行 业主自还
                              ",已上传房本照片
9,碧桂园城市花园花岸苑,增城,168,17214元/平米,3室2厅1厨1卫,低楼层 (共25层),97.6㎡,平层,74.27㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,null,2019-10-02,商品房,2017-06-01,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
10,宏康花园四期康慧苑,黄埔,175,19779元/平米,3室2厅1厨1卫,低楼层 (共7层),88.48㎡,平层,78.43㎡,塔楼,东南,钢混结构,精装,一梯四户,无,null,2019-02-21,商品房,2004-07-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
11,碧桂园豪进广场,增城,205,26182元/平米,2室2厅1厨1卫,中楼层 (共31层),78.3㎡,平层,62.66㎡,塔楼,东南,钢混结构,精装,两梯五户,有,null,2019-05-30,商品房,2017-08-03,普通住宅,满两年,非共有,"
                                有抵押 65万元 中信银行 业主自还
                              ",已上传房本照片
